編號,大分類,小分類,分類內序號,中文_簡體,English,Français,Deutsch
1,A1 必會單字,數字,1,号码（阳性名词）,number (n.),le numéro,die Nummer
2,A1 必會單字,數字,2,数字,number / digit,le chiffre,die Ziffer
3,A1 必會單字,數字,3,一,one,un,eins
4,A1 必會單字,數字,4,二,two,deux,zwei
5,A1 必會單字,數字,5,三,three,trois,drei
6,A1 必會單字,數字,6,四,four,quatre,vier
7,A1 必會單字,數字,7,五,five,cinq,fünf
8,A1 必會單字,數字,8,六,six,six,sechs
9,A1 必會單字,數字,9,七,seven,sept,sieben
10,A1 必會單字,數字,10,八,eight,huit,acht
11,A1 必會單字,數字,11,九,nine,neuf,neun
12,A1 必會單字,數字,12,十,ten,dix,zehn
13,A1 必會單字,數字,13,十一,eleven,onze,elf
14,A1 必會單字,數字,14,十二,twelve,douze,zwölf
15,A1 必會單字,數字,15,十三,thirteen,treize,dreizehn
16,A1 必會單字,數字,16,十四,fourteen,quatorze,vierzehn
17,A1 必會單字,數字,17,十五,fifteen,quinze,fünfzehn
18,A1 必會單字,數字,18,十六,sixteen,seize,sechzehn
19,A1 必會單字,數字,19,十七,seventeen,dix-sept,siebzehn
20,A1 必會單字,數字,20,十八,eighteen,dix-huit,achtzehn
21,A1 必會單字,數字,21,十九,nineteen,dix-neuf,neunzehn
22,A1 必會單字,數字,22,二十,twenty,vingt,zwanzig
23,A1 必會單字,數字,23,三十,thirty,trente,dreißig
24,A1 必會單字,數字,24,四十,forty,quarante,vierzig
25,A1 必會單字,數字,25,五十,fifty,cinquante,fünfzig
26,A1 必會單字,數字,26,六十,sixty,soixante,sechzig
27,A1 必會單字,數字,27,七十,seventy,soixante-dix,siebzig
28,A1 必會單字,數字,28,八十,eighty,quatre-vingts,achtzig
29,A1 必會單字,數字,29,九十,ninety,quatre-vingt-dix,neunzig
30,A1 必會單字,數字,30,一百,one hundred,cent,hundert
31,A1 必會單字,數字,31,一千,one thousand,mille,tausend
32,A1 必會單字,數字,32,百万（阳性名词）,million (n.),le million,die Million
33,A1 必會單字,時間,1,时间,time,le temps,die Zeit
34,A1 必會單字,時間,2,秒,second,la seconde,die Sekunde
35,A1 必會單字,時間,3,分（阴性名词）,minute (n.),la minute,die Minute
36,A1 必會單字,時間,4,时间，时（阴性名词）,"time, hour (n.)",l’heure,die Stunde
37,A1 必會單字,一天,1,天（阴性名词）,day (n.),la journée,der Tag
38,A1 必會單字,一天,2,傍晚（阳性名词）,evening (n.),le soir,der Abend
39,A1 必會單字,一天,3,夜晚（阴性名词）,night (n.),la nuit,die Nacht
40,A1 必會單字,一天,4,今天,today,aujourd’hui,heute
41,A1 必會單字,一天,5,早晨（阳性名词）,morning (n.),le matin,der Morgen
42,A1 必會單字,一天,6,中午（阳性名词）,midday (n.),le midi,der Mittag
43,A1 必會單字,一天,7,下午,afternoon,l’après-midi,der Nachmittag
44,A1 必會單字,一天,8,午夜,midnight,minuit,die Mitternacht
45,A1 必會單字,星期,1,工作日,weekday,le jour de semaine,der Wochentag
46,A1 必會單字,星期,2,周末,weekend,le week-end,das Wochenende
47,A1 必會單字,星期,3,星期一（阳性名词）,Monday (n.),le lundi,der Montag
48,A1 必會單字,星期,4,星期二（阳性名词）,Tuesday (n.),le mardi,der Dienstag
49,A1 必會單字,星期,5,星期三（阳性名词）,Wednesday (n.),le mercredi,der Mittwoch
50,A1 必會單字,星期,6,星期四（阳性名词）,Thursday (n.),le jeudi,der Donnerstag
51,A1 必會單字,星期,7,星期五（阳性名词）,Friday (n.),le vendredi,der Freitag
52,A1 必會單字,星期,8,星期六（阳性名词）,saturday (n.),le samedi,der Samstag
53,A1 必會單字,星期,9,星期日（阳性名词）,Sunday (n.),le dimanche,der Sonntag
54,A1 必會單字,年月,1,年（阴性名词）,year (n.),l’année,das Jahr
55,A1 必會單字,年月,2,日期（阴性名词）,date (n.),la date,das Datum
56,A1 必會單字,年月,3,月,month,le mois,der Monat
57,A1 必會單字,年月,4,一月（阳性名词）,January (n.),janvier,der Januar
58,A1 必會單字,年月,5,二月（阳性名词）,February (n.),février,der Februar
59,A1 必會單字,年月,6,三月（阳性名词）,march (n.),mars,der März
60,A1 必會單字,年月,7,四月（阳性名词）,April (n.),avril,der April
61,A1 必會單字,年月,8,五月（阳性名词）,May (n.),mai,der Mai
62,A1 必會單字,年月,9,六月（阳性名词）,June (n.),juin,der Juni
63,A1 必會單字,年月,10,七月（阳性名词）,July (n.),juillet,der Juli
64,A1 必會單字,年月,11,八月（阳性名词）,august (n.),août,der August
65,A1 必會單字,年月,12,九月（阳性名词）,September (n.),septembre,der September
66,A1 必會單字,年月,13,十月（阳性名词）,October (n.),octobre,der Oktober
67,A1 必會單字,年月,14,十一月（阳性名词）,November (n.),novembre,der November
68,A1 必會單字,年月,15,十二月（阳性名词）,December (n.),décembre,der Dezember
69,A1 必會單字,時間段,1,期间,duration,la durée,die Dauer
70,A1 必會單字,時間段,2,时期,period,la période,der Zeitraum
71,A1 必會單字,時間段,3,上午,morning,la matinée,der Vormittag
72,A1 必會單字,時間段,4,夜间（阴性名词）,evening (n.),la soirée,der Abend
73,A1 必會單字,時間段,5,天（阴性名词）,day (n.),la journée,der Tag
74,A1 必會單字,時間段,6,年（阴性名词）,year (n.),l’année,das Jahr
75,A1 必會單字,季節,1,季节,season,la saison,die Jahreszeit
76,A1 必會單字,季節,2,春天,spring,le printemps,der Frühling
77,A1 必會單字,季節,3,夏天（阳性名词）,summer (n.),l’été,der Sommer
78,A1 必會單字,季節,4,秋天,autumn / fall,l’automne,der Herbst
79,A1 必會單字,季節,5,冬天（阳性名词）,winter (n.),l’hiver,der Winter
80,A1 必會單字,時間線,1,過去,past,le passé,die Vergangenheit
81,A1 必會單字,時間線,2,现在,present,le présent,die Gegenwart
82,A1 必會單字,時間線,3,未來,future,le futur,die Zukunft
83,A1 必會單字,證件,1,身份,identity,l’identité,die Identität
84,A1 必會單字,證件,2,个人信息,profile,le profil,das Profil
85,A1 必會單字,證件,3,护照,passport,le passeport,der Reisepass
86,A1 必會單字,證件,4,签证,visa,le visa,das Visum
87,A1 必會單字,證件,5,居留证,residence permit,le titre de séjour,der Aufenthaltstitel
88,A1 必會單字,自介,1,介绍（阴性名词）,presentation (n.),la présentation,die Präsentation
89,A1 必會單字,自介,2,先生（阳性名词）,gentleman (n.),le monsieur,der Herr
90,A1 必會單字,自介,3,夫人（阴性名词）,madam (n.),madame,die Frau
91,A1 必會單字,自介,4,小姐,Miss,mademoiselle,das Fräulein
92,A1 必會單字,自介,5,名字（阳性名词）,name (n.),le nom,der Name
93,A1 必會單字,自介,6,姓（阳性名词）,last name (n.),le nom de famille,der Nachname
94,A1 必會單字,自介,7,电子邮件（阳性名词）,email (n.),le courriel,die E-Mail
95,A1 必會單字,自介,8,性別,gender / sex,le sexe,das Geschlecht
96,A1 必會單字,自介,9,年龄（阳性名词）,age (n.),l’âge,das Alter
97,A1 必會單字,自介,10,出生日期（阴性名词）,date of birth (n.),la date de naissance,das Geburtsdatum
98,A1 必會單字,自介,11,国籍（阴性名词）,nationality (n.),la nationalité,die Nationalität
99,A1 必會單字,自介,12,职业（阴性名词）,profession (n.),la profession,der Beruf
100,A1 必會單字,自介,13,护照号碼,passport number,le numéro de passeport,die Reisepassnummer
101,A1 必會單字,自介,14,手机号,mobile phone number,le numéro de portable,die Handynummer
102,A1 必會單字,自介,15,联系地址,contact address,l’adresse de contact,die Kontaktadresse
103,A1 必會單字,自介,16,住处,home / residence,le domicile,der Wohnsitz
104,A1 必會單字,自介,17,邮政编码,postal code,le code postal,die Postleitzahl
105,A1 必會單字,自介,18,地址（阴性名词）,address (n.),l’adresse,die Adresse
106,A1 必會單字,自介,19,教育程度,level of education,le niveau d’études,das Bildungsniveau
107,人文活動,家庭,1,家庭（阴性名词）,family (n.),la famille,die Familie
108,人文活動,家庭,2,出生,birth,la naissance,die Geburt
109,人文活動,家庭,3,一对，一双（阳性名词）,couple (n.),le couple,das Paar
110,人文活動,家庭,4,结婚,marriage,le mariage,die Ehe
111,人文活動,家庭,5,死亡（阴性名词）,death (n.),la mort,der Tod
112,人文活動,家庭,6,父母,parents,les parents,die Eltern
113,人文活動,家庭,7,祖父母,grandparents,les grands-parents,die Großeltern
114,人文活動,家庭,8,父亲（阳性名词）,father (n.),le père,der Vater
115,人文活動,家庭,9,母亲（阴性名词）,mother (n.),la mère,die Mutter
116,人文活動,家庭,10,丈夫,husband,le mari,der Ehemann
117,人文活動,家庭,11,妻子,wife,la femme,die Ehefrau
118,人文活動,家庭,12,奶奶（阴性名词）,grandmother (n.),la grand-mère,die Großmutter
119,人文活動,家庭,13,爷爷,grandfather,le grand-père,der Großvater
120,人文活動,家庭,14,女儿（阴性名词）,daughter (n.),la fille,die Tochter
121,人文活動,家庭,15,儿子（阳性名词）,son (n.),le fils,der Sohn
122,人文活動,家庭,16,姐妹（阴性名词）,sister (n.),la sœur,die Schwester
123,人文活動,家庭,17,兄弟（阳性名词）,brother (n.),le frère,der Bruder
124,人文活動,家庭,18,堂兄弟（阳性名词）,cousin (n.),le cousin,der Cousin
125,人文活動,家庭,19,表姐妹、堂姐妹,female cousin,la cousine,die Cousine
126,人文活動,家庭,20,姑母，姨母（阴性名词）,aunt (n.),la tante,die Tante
127,人文活動,家庭,21,叔叔（阳性名词）,uncle (n.),l’oncle,der Onkel
128,人文活動,家庭,22,侄子,nephew,le neveu,der Neffe
129,人文活動,家庭,23,侄女,niece,la nièce,die Nichte
130,人文活動,家庭,24,孙子,grandson,le petit-fils,der Enkel
131,人文活動,家庭,25,孙女，外孙女（阴性名 词）,granddaughter (n.),la petite-fille,die Enkeltochter
132,人文活動,人,1,人（阴性名词）,person (n.),la personne,die Person
133,人文活動,人,2,女人,woman,la femme,Frau
134,人文活動,人,3,男人（阳性名词）,man (n.),l’homme,der Mann
135,人文活動,人,4,寶寶,baby,le bébé,Baby
136,人文活動,人,5,小孩,child,l’enfant,Kind
137,人文活動,人,6,小男孩,boy,le garçon,Junge
138,人文活動,人,7,青少年,teenager,l’adolescent,der Jugendliche
139,人文活動,人,8,年轻的（形容词）,young (adj.),jeune,jung
140,人文活動,人,9,朋友（阳性名词）,friend (n.),l’ami,der Freund
141,人文活動,人,10,邻居（阳性名词）,neighbour (n.),le voisin,der Nachbar
142,人文活動,人,11,夥伴,partner,le partenaire,der Partner
143,人文活動,人,12,同学,classmate,le camarade,der Klassenkamerad
144,人文活動,人,13,同事,colleague,le collègue,der Kollege
145,人文活動,人,14,客人,customer / guest,le client,der Kunde
146,人文活動,人,15,陌生人,stranger,l’inconnu,der Unbekannte
147,人文活動,人,16,大人,adult,l’adulte,der Erwachsene
148,人文活動,人,17,老人,elderly person,la personne âgée,ältere Person
149,人文活動,人,18,女儿（阴性名词）,daughter (n.),la fille,die Tochter
150,人文活動,人,19,居民（阳性名词）,inhabitant (n.),l’habitant,der Einwohner
151,人文活動,人,20,旅客,traveler,le voyageur,der Reisende
152,人文活動,職業,1,工作（阳性名词）,work (n.),le travail,die Arbeit
153,人文活動,職業,2,职业（阴性名词）,profession (n.),la profession,der Beruf
154,人文活動,職業,3,企业，公司（阴性名词）,business (n.),l’entreprise,das Unternehmen
155,人文活動,職業,4,招募/提供/报價,offer,l’offre,das Angebot
156,人文活動,職業,5,面試,interview,l’entretien,das Vorstellungsgespräch
157,人文活動,職業,6,功能（阴性名词）,function (n.),la fonction,die Funktion
158,人文活動,職業,7,职员，雇员（阳性名词）,employee (n.),l’employé,der Angestellte
159,人文活動,職業,8,雇主,employer,l’employeur,der Arbeitgeber
160,人文活動,職業,9,岗位（阳性名词）,post (n.),le poste,die Stelle
161,人文活動,職業,10,老師,teacher,le professeur,der Lehrer
162,人文活動,職業,11,医生（阳性名词）,doctor (n.),le médecin,der Arzt
163,人文活動,職業,12,牙医,dentist,le dentiste,der Zahnarzt
164,人文活動,職業,13,新闻记者（名词）,journalist (n.),le journaliste,der Journalist
165,人文活動,職業,14,攝影師,photographer,le photographe,der Fotograf
166,人文活動,職業,15,工程师（名词）,engineer (n.),l’ingénieur,der Ingenieur
167,人文活動,職業,16,律師,lawyer,l’avocat,der Anwalt
168,人文活動,職業,17,厨師,cook / chef,le cuisinier,der Koch
169,人文活動,職業,18,服务也（阳性名词）,server (n.),le serveur,der Kellner
170,人文活動,職業,19,司机,driver,le chauffeur,der Fahrer
171,人文活動,職業,20,警察,police officer,le policier,der Polizist
172,人文活動,職業,21,护士,nurse,l’infirmier,der Krankenpfleger
173,人文活動,職業,22,药劑師,pharmacist,le pharmacien,der Apotheker
174,人文活動,職業,23,学生,student,l’étudiant,der Student
175,人文活動,職業,24,店员,salesperson,le vendeur,der Verkäufer
176,人文活動,職業,25,校长，经理（阳性名词）,director (n.),le directeur,der Direktor
177,人文活動,職業,26,秘书（名词）,secretary (n.),le secrétaire,der Sekretär
178,人文活動,告示牌,1,公告,announcement,l’annonce,Ankündigung
179,人文活動,告示牌,2,信息,information,l’information,Information
180,人文活動,告示牌,3,信息,information / details,le renseignement,Auskunft
181,人文活動,告示牌,4,消息,message,le message,Nachricht
182,人文活動,告示牌,5,注意,attention,l’attention,Achtung
183,人文活動,告示牌,6,命令/顺序,order,l’ordre,die Reihenfolge
184,人文活動,告示牌,7,禁止,prohibition,l’interdiction,Verbot
185,人文活動,告示牌,8,危險,danger,le danger,Gefahr
186,人文活動,告示牌,9,义务责任,obligation,l’obligation,Pflicht
187,人文活動,告示牌,10,入口（阴性名词）,"entrance, starter (n.)",l’entrée,der Eingang
188,人文活動,告示牌,11,出口（阴性名词）,exit (n.),la sortie,der Ausgang
189,人文活動,告示牌,12,开放,open,ouvert,offen
190,人文活動,告示牌,13,关闭,closed,fermé,geschlossen
191,人文活動,告示牌,14,緊急出口,emergency exit,la sortie de secours,Notausgang
192,人文活動,告示牌,15,请勿进入,no entry,entrée interdite,Eintritt verboten
193,人文活動,告示牌,16,告示牌,sign,le panneau,Schild
194,人文活動,活動,1,活动,activity,l’activité,Aktivität
195,人文活動,活動,2,事件,event,l’événement,Ereignis
196,人文活動,活動,3,行动,action,l’action,Handlung
197,人文活動,活動,4,集合（阴性名词）,meeting (n.),la réunion,das Treffen
198,人文活動,活動,5,演唱会,concert,le concert,Konzert
199,人文活動,活動,6,狂欢节（阳性名词）,carnival (n.),le carnaval,der Karneval
200,人文活動,活動,7,节（阳性名词）,festival (n.),le festival,das Festival
201,人文活動,活動,8,文化,culture,la culture,Kultur
202,人文活動,活動,9,抗議,demonstration,la manifestation,Demonstration
203,人文活動,活動,10,夜间（阴性名词）,evening (n.),la soirée,der Abend
204,人文活動,活動,11,展览（阴性名词）,exhibition (n.),l’exposition,die Ausstellung
205,人文活動,活動,12,比賽,competition / match,le concours,der Wettbewerb
206,人文活動,活動,13,典礼,ceremony,la cérémonie,Zeremonie
207,人文活動,活動,14,约会（阳性名词）,"appointment, date (n.)",le rendez-vous,der Termin
208,人文活動,活動,15,节目（阳性名词）,"programme (TV), program (computer) (n.)",le programme,das Programm
209,人文活動,節日,1,节日，纪念日（阴性名 词）,"party, fair (n.)",la fête,das Fest
210,人文活動,節日,2,情人节,Valentine's Day,la Saint-Valentin,Valentinstag
211,人文活動,節日,3,圣诞节（阳性名词）,Christmas (n.),Noël,Weihnachten
212,人文活動,節日,4,万圣节,Halloween,Halloween,Halloween
213,人文活動,節日,5,复活节,Easter,Pâques,Ostern
214,人文活動,節日,6,新年,New Year's Day,le Nouvel An,Neujahr
215,人文活動,節日,7,国庆日,national holiday,la fête nationale,Nationalfeiertag
216,人文活動,節日,8,周年纪念日，生日（阳性 名词）,"birthday, anniversary (n.)",l’anniversaire,der Geburtstag
217,人文活動,節日,9,母親节,Mother's Day,la fête des Mères,Muttertag
218,人文活動,節日,10,父親节,Father's Day,la fête des Pères,Vatertag
219,人文活動,節日,11,婚礼,wedding,le mariage,die Hochzeit
220,人文活動,運動,1,运动（阳性名词）,sport (n.),le sport,der Sport
221,人文活動,運動,2,運动社團,sports club,le club de sport,Sportverein
222,人文活動,運動,3,比賽,competition / match,le match,das Spiel
223,人文活動,運動,4,瑜珈,yoga,le yoga,Yoga
224,人文活動,運動,5,跳舞（动词）,dance (v.),danser,tanzen
225,人文活動,運動,6,溜冰,ice skating,le patinage,Eislaufen
226,人文活動,運動,7,游泳（阴性名词）,swimming (n.),la natation,das Schwimmen
227,人文活動,運動,8,馬術,horse riding,l’équitation,Reiten
228,人文活動,運動,9,羽毛球,badminton,le badminton,Badminton
229,人文活動,運動,10,网球（阳性名词）,tennis (n.),le tennis,das Tennis
230,人文活動,運動,11,足球（阳性名词）,football (n.),le football,der Fußball
231,人文活動,運動,12,籃球,basketball,le basket-ball,Basketball
232,人文活動,運動,13,排球（阳性名词）,volleyball (n.),le volley-ball,das Volleyball
233,人文活動,運動,14,跑步（阳性名词）,jogging (n.),le jogging,das Jogging
234,人文活動,運動,15,自行车（阳性名词）,bike (n.),le vélo,das Fahrrad
235,人文活動,運動,16,滑雪（阳性名词）,skiing (n.),le ski,der Ski
236,人文活動,運動,17,肌肉锻炼（阴性名词）,body-building (n.),la musculation,das Bodybuilding
237,人文活動,運動,18,桌球,table tennis,le tennis de table,Tischtennis
238,人文活動,遊戲,1,游戏（阳性名词）,game (n.),le jeu,das Spiel
239,人文活動,遊戲,2,玩具,toy,le jouet,Spielzeug
240,人文活動,遊戲,3,乐透,lottery,le loto,Lotto
241,人文活動,遊戲,4,菜单，卡片（阴性名词）,"menu, card (n.)",la carte,die Karte
242,人文活動,遊戲,5,桌遊,board game,le jeu de société,Brettspiel
243,人文活動,興趣,1,空闲时间（阳性名词）,leisure (n.),le loisir,die Freizeit
244,人文活動,興趣,2,暫停/休息,break,la pause,Pause
245,人文活動,興趣,3,露營,camping,le camping,Camping
246,人文活動,興趣,4,照相,photography,la photographie,Fotografie
247,人文活動,興趣,5,閱讀,reading,la lecture,das Lesen
248,人文活動,興趣,6,散步（阴性名词）,walk (n.),la promenade,der Spaziergang
249,人文活動,興趣,7,手作,DIY / crafts,le bricolage,das Basteln
250,人文活動,興趣,8,園藝,gardening,le jardinage,Gartenarbeit
251,人文活動,樂器,1,吉他,guitar,la guitare,Gitarre
252,人文活動,樂器,2,鋼琴,piano,le piano,Klavier
253,人文活動,樂器,3,打擊乐,percussion,la percussion,das Schlagzeug
254,人文活動,學業,1,学校,school,l’école,Schule
255,人文活動,學業,2,教育/学問,education,l’éducation,Bildung
256,人文活動,學業,3,登记注册（阴性名词）,registration (n.),l’inscription,die Anmeldung
257,人文活動,學業,4,食堂,canteen,la cantine,Kantine
258,人文活動,學業,5,幼儿園,kindergarten,l’école maternelle,Kindergarten
259,人文活動,學業,6,小学,primary school,l’école primaire,Grundschule
260,人文活動,學業,7,初中（阳性名词）,middle school (n.),le collège,die Mittelschule
261,人文活動,學業,8,高中,high school,le lycée,das Gymnasium
262,人文活動,學業,9,大学（阴性名词）,university (n.),l’université,die Universität
263,人文活動,學業,10,学士,bachelor's degree,la licence,Bachelor
264,人文活動,學業,11,碩士,master's degree,le master,Master
265,人文活動,學業,12,博士学位（阳性名词）,phd (n.),le doctorat,das Doktorat
266,人文活動,學業,13,课程，过程（阳性名词）,class (n.),le cours,der Kurs
267,人文活動,學業,14,等级，班级（阴性名词）,class (n.),la classe,die Klasse
268,人文活動,學業,15,应该（动词）,"owe, have to (v.)",devoir,müssen
269,人文活動,學業,16,成績,grade / score,la note,Note
270,人文活動,學業,17,文憑,diploma,le diplôme,Diplom
271,人文活動,學業,18,学生证,student card,la carte d’étudiant,Studentenausweis
272,人文活動,科目,1,音乐（阴性名词）,music (n.),la musique,die Musik
273,人文活動,科目,2,文学,literature,la littérature,Literatur
274,人文活動,科目,3,历史（阴性名词）,history (n.),l’histoire,die Geschichte
275,人文活動,科目,4,地理,geography,la géographie,Geografie
276,人文活動,科目,5,物理,physics,la physique,Physik
277,人文活動,科目,6,化学,chemistry,la chimie,Chemie
278,人文活動,科目,7,数学,mathematics,les mathématiques,Mathematik
279,人文活動,科目,8,生物,biology,la biologie,Biologie
280,人文活動,科目,9,体育,physical education,l’EPS,Sportunterricht
281,人文活動,科目,10,藝術,art,l’art,Kunst
282,人文活動,科目,11,經濟,economy / economics,l’économie,die Wirtschaft
283,人文活動,書,1,书,book,le livre,Buch
284,人文活動,書,2,小冊子,brochure,la brochure,Broschüre
285,人文活動,書,3,逐字稿,transcript,la transcription,Transkript
286,人文活動,書,4,字典,dictionary,le dictionnaire,Wörterbuch
287,人文活動,書,5,长篇小说（阳性名词）,novel (n.),le roman,der Roman
288,人文活動,書,6,閱讀,reading,la lecture,das Lesen
289,人文活動,書,7,版本,edition,l’édition,Ausgabe
290,人文活動,書,8,參考,reference,la référence,Referenz
291,人文活動,書,9,页（阴性名词）,page (n.),la page,die Seite
292,人文活動,書,10,章节,chapter,le chapitre,Kapitel
293,人文活動,書,11,標題,title,le titre,Titel
294,人文活動,書,12,作者,author,l’auteur,der Autor
295,人文活動,書,13,圖书馆藏书,work / library item,l’ouvrage,Werk
296,人文活動,考試,1,听（动词）,listen (v.),écouter,zuhören
297,人文活動,考試,2,说（动词）,"say, tell (v.)",dire,sagen
298,人文活動,考試,3,讀,reading,lire,lesen
299,人文活動,考試,4,写（动词）,write (v.),écrire,schreiben
300,人文活動,考試,5,味覺,taste,le goût,Geschmack
301,人文活動,考試,6,触（动词）,touch (v.),toucher,berühren
302,人文活動,考試,7,檢驗,check / test,le contrôle,Kontrolle
303,人文活動,考試,8,測驗,test,le test,Test
304,人文活動,考試,9,考试（阳性名词）,"exam, medical (n.)",l’examen,die Prüfung
305,人文活動,考試,10,題目,question,la question,Frage
306,人文活動,考試,11,答案,answer,la réponse,Antwort
307,人文活動,考試,12,成績,grade / score,la note,Note
308,人文活動,考試,13,证书,certificate,le certificat,Zertifikat
309,人文活動,考試,14,口試,oral exam,l’oral,mündliche Prüfung
310,人文活動,考試,15,笔試,written exam,l’écrit,schriftliche Prüfung
311,人文活動,語言,1,语言（阴性名词）,"language, tongue (n.)",la langue,die Sprache
312,人文活動,語言,2,外国人（阳性名词）,"stranger, foreigner (n.)",l’étranger,der Ausländer
313,人文活動,語言,3,中文,Chinese,le chinois,Chinesisch
314,人文活動,語言,4,法国的（形容词）,French (adj.),français,französisch
315,人文活動,語言,5,英文,English,l’anglais,Englisch
316,人文活動,語言,6,單字,word,le mot,Wort
317,人文活動,語言,7,字,letter,la lettre,Buchstabe
318,人文活動,語言,8,句子,sentence,la phrase,Satz
319,人文活動,語言,9,条款（阳性名词）,"article, item (n.)",l’article,der Artikel
320,人文活動,語言,10,文本,text,le texte,Text
321,人文活動,語言,11,语法（阴性名词）,grammar (n.),la grammaire,die Grammatik
